PLATEAU_3D-Spatial-ID_CSV,0100,20,0
gml_id,spatial_id
urf_f87398a8-5b72-4207-9018-3454fe4c47e6,20/3/934981/406133
urf_f87398a8-5b72-4207-9018-3454fe4c47e6,20/3/934997/406124
urf_f87398a8-5b72-4207-9018-3454fe4c47e6,20/-1/934990/406129
urf_f87398a8-5b72-4207-9018-3454fe4c47e6,20/2/934990/406127
urf_f87398a8-5b72-4207-9018-3454fe4c47e6,20/-1/934996/406129
urf_f87398a8-5b72-4207-9018-3454fe4c47e6,20/2/934983/406130
urf_f87398a8-5b72-4207-9018-3454fe4c47e6,20/-1/934992/406129
urf_f87398a8-5b72-4207-9018-3454fe4c47e6,20/0/934988/406130
urf_f87398a8-5b72-4207-9018-3454fe4c47e6,20/1/934989/406125
urf_f87398a8-5b72-4207-9018-3454fe4c47e6,20/2/934993/406128
urf_f87398a8-5b72-4207-9018-3454fe4c47e6,20/1/934981/406134
urf_f87398a8-5b72-4207-9018-3454fe4c47e6,20/-1/934996/406121
urf_f87398a8-5b72-4207-9018-3454fe4c47e6,20/1/934988/406132
urf_f87398a8-5b72-4207-9018-3454fe4c47e6,20/1/934982/406130
urf_f87398a8-5b72-4207-9018-3454fe4c47e6,20/0/934995/406125
urf_f87398a8-5b72-4207-9018-3454fe4c47e6,20/0/934994/406134
urf_f87398a8-5b72-4207-9018-3454fe4c47e6,20/0/934981/406131
urf_f87398a8-5b72-4207-9018-3454fe4c47e6,20/2/934981/406131
urf_f87398a8-5b72-4207-9018-3454fe4c47e6,20/3/934983/406131
urf_f87398a8-5b72-4207-9018-3454fe4c47e6,20/2/934994/406135
urf_f87398a8-5b72-4207-9018-3454fe4c47e6,20/2/934992/406128
urf_f87398a8-5b72-4207-9018-3454fe4c47e6,20/1/934983/406130
urf_f87398a8-5b72-4207-9018-3454fe4c47e6,20/1/934991/406126
urf_f87398a8-5b72-4207-9018-3454fe4c47e6,20/2/934996/406131
urf_f87398a8-5b72-4207-9018-3454fe4c47e6,20/-1/934989/406133
